id,itemTime,trialNumber,name,type,statement,relevance,competence,prior,condition,trialType,answer,RT,language,comments,engagement,difficulty
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400405819,9,Gerald's graduation,llh,Nico finally graduated after studying for a long time.,0,0,1,test,test_false,0.28,22442,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400412901,10,Gerald's graduation,llh,It is likely that both Gerald's mother and his father attended the ceremony.,0,0,1,critical,exh1,0.12,7081,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400437556,11,Jimmy's trip,lll,Jimmy had to rush to be back home and did not have much time to spend in the city.,0,0,0,test,test_true,0.92,24654,English,N/A,8,2
A19F0UPKU4IT2P:3FTOP5WARGWD5G9SW8MDLAC64WH0JU,1465400441057,12,Jimmy's trip,lll,It is likely that Jimmy visited both the Statue of Liberty and the Empire State Building.,0,0,0,critical,exh2,0.14,3500,English,N/A,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465402940815,1,Brad's clothes,hlh,Mandy feels attracted to Brad.,1,0,1,test,test_uncertain,0.5,20038,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465402951720,2,Brad's clothes,hlh,It is likely that Brad bought both a sweater and a pair of jeans.,1,0,1,critical,exh1,0.78,10903,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465402957980,3,Carl's party,hll,John did not spend much time outside.,1,0,0,test,test_true,0.18,6260,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465402960956,4,Carl's party,hll,It is likely that Carl danced passionately with both Sue and Mary.,1,0,0,critical,exh1,0.16,2975,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465402966779,5,Chloe's holiday,lhh,"Chloe forgot about bringing some beach towels, too.",0,1,1,test,test_uncertain,0.32,5822,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465402970196,6,Chloe's holiday,lhh,It is likely that both Susan and Amelia brought some extra suntan lotion.,0,1,1,critical,exh2,0.58,3416,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465402992926,7,Mrs Gibbs' worry,hhh,Mrs Gibbs did not accompany her husband when Cindy served him.,1,1,1,test,test_true,0.26,22729,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465402998719,8,Mrs Gibbs' worry,hhh,It is likely that Mr Gibbs had both a beer and a steak.,1,1,1,critical,exh1,0.4,5792,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465403008669,9,Leo's wife,hll,Leo is sponsoring a tennis tournament.,1,0,0,test,test_false,0.38,9949,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465403013474,10,Leo's wife,hll,It is likely that someone made a hole-in-one on both the first and the second hole.,1,0,0,critical,exh2,0.14,4804,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465403023095,11,Gerald's graduation,llh,Nico finally graduated after studying for a long time.,0,0,1,test,test_false,0.08,9620,English,n/a,8,2
A1AQQFJAF8CI4H:3Z2R0DQ0JIMCQAQEXUF07ISTWM5E27,1465403026197,12,Gerald's graduation,llh,It is likely that both Gerald's mother and his father attended the ceremony.,0,0,1,critical,exh2,0.68,3100,English,n/a,8,2
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403434344,1,Gigi's exams,hlh,Gigi aspires to a career in science.,1,0,1,test,test_uncertain,0.56,1892,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403435728,2,Gigi's exams,hlh,It is likely that Gigi passed both her Physics exam and her Chemistry exam.,1,0,1,critical,exh1,0.48,1383,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403436864,3,Danny's racket,hhh,Danny and Alex have known each other since high school.,1,1,1,test,test_uncertain,0.56,1135,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403437952,4,Danny's racket,hhh,It is likely that Alex bought both a racket and a pair of shoes.,1,1,1,critical,exh1,0.55,1087,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403439656,5,Carl's party,hll,John did not spend much time outside.,1,0,0,test,test_true,0.58,1703,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403440744,6,Carl's party,hll,It is likely that Carl danced passionately with both Sue and Mary.,1,0,0,critical,exh2,0.56,1088,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403441904,7,Harold's pet,lll,Harold is single.,0,0,0,test,test_false,0.47,1160,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403443080,8,Harold's pet,lll,It is likely that Harold bought both a cat and a dog.,0,0,0,critical,exh1,0.4,1176,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403444216,9,Tony's clubbing,lhl,Techno is quite different from Jazz and from Metal.,0,1,0,test,test_true,0.52,1136,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403445416,10,Tony's clubbing,lhl,It is likely that they play both Jazz and Metal at the club tonight.,0,1,0,critical,exh2,0.54,1200,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403447448,11,Pete's accident,hhl,Pete was injured while playing in the garden.,1,1,0,test,test_false,0.56,2032,English,no,5,5
A1CSWN23S8BHQY:3WT783CTPCPRHP6WKW2GINVU5G6CBF,1465403449352,12,Pete's accident,hhl,It is likely that Pete broke both his arm and his leg.,1,1,0,critical,exh2,0.63,1904,English,no,5,5
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396368114,1,Tony's clubbing,lhl,Techno is quite different from Jazz and from Metal.,0,1,0,test,test_true,0.84,25400,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396408266,2,Tony's clubbing,lhl,It is likely that they play both Jazz and Metal at the club tonight.,0,1,0,critical,exh2,0.42,40149,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396427451,3,Lily's husband,lhl,Eric's doctor told him to stop drinking alcohol.,0,1,0,test,test_true,0.97,19183,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396467365,4,Lily's husband,lhl,It is likely that Eric drank both whisky and vodka.,0,1,0,critical,exh2,0.44,39911,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396548191,5,Gerald's graduation,llh,Nico finally graduated after studying for a long time.,0,0,1,test,test_false,0.44,80819,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396559782,6,Gerald's graduation,llh,It is likely that both Gerald's mother and his father attended the ceremony.,0,0,1,critical,exh1,0.4,11579,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396585838,7,Danny's racket,hhh,Danny and Alex have known each other since high school.,1,1,1,test,test_uncertain,0.56,26044,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396591266,8,Danny's racket,hhh,It is likely that Alex bought both a racket and a pair of shoes.,1,1,1,critical,exh1,0.78,5418,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396611480,9,Joshua's delay,llh,"Kevin, Cory and Joshua are brothers.",0,0,1,test,test_false,0.16,20210,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396620406,10,Joshua's delay,llh,It is likely that Joshua had to both do his homework and eat lunch.,0,0,1,critical,exh1,0.6,8918,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396635846,11,Harold's pet,lll,Harold's girlfriend gave in because Harold kept nagging her about wanting a pet.,0,0,0,test,test_uncertain,0.6,15428,English,thank you,9,7
A1DJDT4B5B19Q2:3L6L49WXW15MX5C8Q75LW3JE37Z45P,1465396652406,12,Harold's pet,lll,It is likely that Harold bought both a cat and a dog.,0,0,0,critical,exh2,0.33,16547,English,thank you,9,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397759665,1,Mrs Gibbs' worry,hhh,Cindy is secretly in love with Mrs Gibbs' husband.,1,1,1,test,test_uncertain,0.16,11598,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397773511,2,Mrs Gibbs' worry,hhh,It is likely that Mr Gibbs had both a beer and a steak.,1,1,1,critical,exh2,0.64,13845,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397782031,3,Pete's accident,hhl,Pete's teacher saw him fall off the slide.,1,1,0,test,test_uncertain,0.73,8519,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397789655,4,Pete's accident,hhl,It is likely that Pete broke both his arm and his leg.,1,1,0,critical,exh1,0.62,7623,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397799207,5,Gerald's graduation,llh,Nico finally graduated after studying for a long time.,0,0,1,test,test_false,0.91,9551,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397803632,6,Gerald's graduation,llh,It is likely that both Gerald's mother and his father attended the ceremony.,0,0,1,critical,exh2,0.71,4424,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397822207,7,Joshua's delay,llh,"Kevin, Cory and Joshua are brothers.",0,0,1,test,test_false,0,18574,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397828495,8,Joshua's delay,llh,It is likely that Joshua had to both do his homework and eat lunch.,0,0,1,critical,exh1,0.74,6287,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397838626,9,Leo's wife,hll,Leo is wealthy.,1,0,0,test,test_true,0.81,10130,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397844715,10,Leo's wife,hll,It is likely that someone made a hole-in-one on both the first and the second hole.,1,0,0,critical,exh2,0.05,6088,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397869359,11,Mrs Sanders' son,hhl,The teacher is trying to find out who queued up twice.,1,1,0,test,test_true,0.86,24644,English,NA,8,7
A1FYFBIFYWTMJS:3ND9UOO81LAC8WYDS0RB8KY29Q1WLU,1465397872327,12,Mrs Sanders' son,hhl,It is likely that Ted had both pasta and a pizza.,1,1,0,critical,exh1,0.86,2967,English,NA,8,7
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400065084,1,Pete's accident,hhl,Pete's mother was not there when he fell of the slide.,1,1,0,test,test_true,0.66,14065,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400072666,2,Pete's accident,hhl,It is likely that Pete broke both his arm and his leg.,1,1,0,critical,exh1,0.38,7581,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400084475,3,Mrs Gibbs' worry,hhh,Mrs Gibbs did not accompany her husband when Cindy served him.,1,1,1,test,test_true,0.63,11808,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400088446,4,Mrs Gibbs' worry,hhh,It is likely that Mr Gibbs had both a beer and a steak.,1,1,1,critical,exh2,0.33,3970,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400098081,5,Harold's pet,lll,Harold is single.,0,0,0,test,test_false,0,9634,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400101862,6,Harold's pet,lll,It is likely that Harold bought both a cat and a dog.,0,0,0,critical,exh2,0.5,3780,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400111929,7,Leo's wife,hll,Leo is sponsoring a tennis tournament.,1,0,0,test,test_false,0,10067,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400116382,8,Leo's wife,hll,It is likely that someone made a hole-in-one on both the first and the second hole.,1,0,0,critical,exh1,0.5,4453,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400124181,9,Chloe's holiday,lhh,"Chloe forgot about bringing some beach towels, too.",0,1,1,test,test_uncertain,0.34,7798,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400130445,10,Chloe's holiday,lhh,It is likely that both Susan and Amelia brought some extra suntan lotion.,0,1,1,critical,exh1,0.5,6263,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400144952,11,Joshua's delay,llh,"Kevin, Cory and Joshua do not like to hang out with girls.",0,0,1,test,test_uncertain,0.41,14507,english,NA,8,0
A1HWI4N1RJGKYY:34YB12FSQZW0HSQYD7O8MUR3F71GMH,1465400148671,12,Joshua's delay,llh,It is likely that Joshua had to both do his homework and eat lunch.,0,0,1,critical,exh2,0.5,3719,english,NA,8,0
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465399938785,1,Gerald's graduation,llh,Gerald is friends with both Nico and Rick.,0,0,1,test,test_true,1,18313,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465399954279,2,Gerald's graduation,llh,It is likely that both Gerald's mother and his father attended the ceremony.,0,0,1,critical,exh2,0.54,15494,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465399974125,3,Joshua's delay,llh,"Kevin, Cory and Joshua are brothers.",0,0,1,test,test_false,0.03,19844,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465399994655,4,Joshua's delay,llh,It is likely that Joshua had to both do his homework and eat lunch.,0,0,1,critical,exh2,0.8,20529,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465400008758,5,Lily's husband,lhl,Eric's doctor told him to stop drinking alcohol.,0,1,0,test,test_true,0.92,14103,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465400023826,6,Lily's husband,lhl,It is likely that Eric drank both whisky and vodka.,0,1,0,critical,exh2,0.44,15067,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465400058509,7,Carl's party,hll,"John and Carl, the hosts, are a gay couple.",1,0,0,test,test_false,0.29,34682,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465400066982,8,Carl's party,hll,It is likely that Carl danced passionately with both Sue and Mary.,1,0,0,critical,exh1,0.66,8472,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465400098040,9,Brad's clothes,hlh,Mandy feels attracted to Brad.,1,0,1,test,test_uncertain,0.65,31058,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465400103629,10,Brad's clothes,hlh,It is likely that Brad bought both a sweater and a pair of jeans.,1,0,1,critical,exh1,0.59,5588,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465400159768,11,Tony's clubbing,lhl,Rob is a big fan of Techno music as well.,0,1,0,test,test_uncertain,0.63,56138,English,NA,8,6
A1I4YFIL263DP8:3IO1LGZLKA5JZAZO7T535LDJ1O986J,1465400164492,12,Tony's clubbing,lhl,It is likely that they play both Jazz and Metal at the club tonight.,0,1,0,critical,exh1,0.26,4721,English,NA,8,6
A1JQI98NY1RMNS:3GA6AFUKOPWDV2DZRV1BBVUYUGYH32,1465403491195,1,Leo's wife,hll,Leo is sponsoring a tennis tournament.,1,0,0,test,test_false,0,18222,english,NA,5,4
A1JQI98NY1RMNS:3GA6AFUKOPWDV2DZRV1BBVUYUGYH32,1465403505261,2,Leo's wife,hll,It is likely that someone made a hole-in-one on both the first and the second hole.,1,0,0,critical,exh2,0.3,14065,english,NA,5,4
A1JQI98NY1RMNS:3GA6AFUKOPWDV2DZRV1BBVUYUGYH32,1465403514149,3,Pete's accident,hhl,Pete's teacher saw him fall off the slide.,1,1,0,test,test_uncertain,0.53,8888,english,NA,5,4
A1JQI98NY1RMNS:3GA6AFUKOPWDV2DZRV1BBVUYUGYH32,1465403521310,4,Pete's accident,hhl,It is likely that Pete broke both his arm and his leg.,1,1,0,critical,exh2,0.55,7161,english,NA,5,4
